# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "8" "-p" "-F" "GFF" "-a" "GCF_000006945.2_ASM694v2_genomic.gff" "-o" "analysis_results/counts/gene_counts.txt" "-t" "gene" "-g" "locus_tag" "analysis_results/aligned/ERR12322786_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	analysis_results/aligned/ERR12322786_sorted.bam
STM0036	NC_003197.2	41717	42913	+	1197	3698
STM0037	NC_003197.2	42926	44185	+	1260	3799
STM0038	NC_003197.2	44305	46027	+	1723	5538
STM0039	NC_003197.2	46083	47356	+	1274	3847
STM0040	NC_003197.2	47407	48317	+	911	2771
STM0041	NC_003197.2	48372	50417	-	2046	5786
STM0042	NC_003197.2	50451	51829	-	1379	4470
STM0043	NC_003197.2	52280	52550	-	271	1096
STM0044	NC_003197.2	52649	52864	+	216	465
STM0045	NC_003197.2	52872	53810	+	939	2647
STM0046	NC_003197.2	53838	56689	+	2852	8700
STM0047	NC_003197.2	56689	57189	+	501	1543
STM0048	NC_003197.2	57328	57793	+	466	1403
STM0049	NC_003197.2	57782	58746	+	965	3268
STM0050	NC_003197.2	58940	60148	+	1209	3555
STM0051	NC_003197.2	60151	61084	+	934	2701
STM0052	NC_003197.2	61106	61797	-	692	1811
STM0053	NC_003197.2	61794	63413	-	1620	4898
STM0054	NC_003197.2	63548	64855	-	1308	4217
STM0055	NC_003197.2	64862	66644	-	1783	4220
STM0056	NC_003197.2	66654	66899	-	246	1175
STM0057	NC_003197.2	67052	68400	-	1349	4721
STM0058	NC_003197.2	68637	69680	+	1044	3398
STM0059	NC_003197.2	69703	70003	+	301	549
STM0060	NC_003197.2	69994	70869	+	876	2208
STM0061	NC_003197.2	70873	72400	+	1528	4419
STM0062	NC_003197.2	72394	72951	+	558	1378
STM0063	NC_003197.2	72923	73837	+	915	2649
STM0064	NC_003197.2	74007	74838	+	832	3066
STM0065	NC_003197.2	75088	75435	+	348	1331
STM0066	NC_003197.2	75812	77028	+	1217	3813
STM0067	NC_003197.2	77030	80274	+	3245	10567
STM0068	NC_003197.2	80459	80943	+	485	1784
STM0069	NC_003197.2	81020	81627	-	608	2008
STM0070	NC_003197.2	81725	82523	-	799	2628
STM0071	NC_003197.2	82564	84131	-	1568	4611
STM0072	NC_003197.2	84180	85410	-	1231	4179
STM0073	NC_003197.2	85509	86662	-	1154	3729
STM0074	NC_003197.2	86686	88216	-	1531	4984
STM0075	NC_003197.2	88547	89454	+	908	2844
STM0076	NC_003197.2	89459	90411	+	953	2675
STM0077	NC_003197.2	90450	91747	+	1298	3596
STM0078	NC_003197.2	91728	92031	+	304	830
STM0079	NC_003197.2	92166	93518	+	1353	4503
STM0080	NC_003197.2	93601	93837	+	237	1002
STM0081	NC_003197.2	94123	94547	+	425	1685
STM0082	NC_003197.2	94771	95069	-	299	1390
STM0083	NC_003197.2	95271	95465	+	195	1090
STM0084	NC_003197.2	95952	97848	+	1897	6777
STM0085	NC_003197.2	98245	98785	+	541	1648
STM0086	NC_003197.2	98765	100640	+	1876	6340
STM0087	NC_003197.2	100826	101318	+	493	2243
STM0088	NC_003197.2	101424	102272	-	849	2833
STM0089	NC_003197.2	102283	102674	-	392	752
STM0090	NC_003197.2	102663	103484	-	822	1849
STM0091	NC_003197.2	103481	104470	-	990	2819
STM0092	NC_003197.2	104470	105767	-	1298	3483
STM0093	NC_003197.2	105810	108170	-	2361	7460
STM0094	NC_003197.2	108413	109236	+	824	2792
STM0095	NC_003197.2	109331	110002	-	672	2127
STM0096	NC_003197.2	110002	112908	-	2907	9690
STM0097	NC_003197.2	113082	115445	-	2364	9120
STM0098	NC_003197.2	115477	116102	-	626	1966
STM0099	NC_003197.2	116294	116601	+	308	1982
STM0100	NC_003197.2	116816	117235	+	420	1297
STM0101	NC_003197.2	117241	117949	-	709	2296
STM0102	NC_003197.2	118077	119591	-	1515	4519
STM0103	NC_003197.2	119590	121412	-	1823	6337
STM0104	NC_003197.2	121528	122485	+	958	3140
STM0105	NC_003197.2	122593	123371	+	779	2481
STM0106	NC_003197.2	123410	124136	-	727	2346
STM0107	NC_003197.2	124101	125728	-	1628	4488
STM0108	NC_003197.2	125687	126680	-	994	3135
STM0109	NC_003197.2	126848	128522	-	1675	6210
STM0110	NC_003197.2	129057	129674	-	618	2020
STM0111	NC_003197.2	129673	131086	-	1414	4193
STM0112	NC_003197.2	131076	132181	-	1106	2789
STM0113	NC_003197.2	132167	133758	-	1592	5024
STM0114	NC_003197.2	133826	134057	-	232	1024
STM0115	NC_003197.2	134557	135513	+	957	3724
STM0116	NC_003197.2	135770	137559	+	1790	5609
STM0117	NC_003197.2	137550	138053	+	504	1688
STM0118	NC_003197.2	138326	139341	+	1016	4244
STM0119	NC_003197.2	139931	140405	+	475	1376
STM0120	NC_003197.2	140388	141348	+	961	2613
STM0121	NC_003197.2	141333	141710	+	378	677
STM0122	NC_003197.2	141709	143492	+	1784	5375
STM0123	NC_003197.2	143469	144966	+	1498	4193
STM0124	NC_003197.2	144949	146321	+	1373	4219
STM0125	NC_003197.2	146301	147397	+	1097	2830
STM0126	NC_003197.2	147386	148716	+	1331	3668
STM0127	NC_003197.2	148702	149960	+	1259	3575
STM0128	NC_003197.2	149947	151024	+	1078	3332
STM0129	NC_003197.2	151131	152618	+	1488	4894
STM0130	NC_003197.2	152595	153531	+	937	1832
STM0131	NC_003197.2	153375	154363	+	989	2107
STM0132	NC_003197.2	154346	155622	+	1277	4217
STM0133	NC_003197.2	155670	156834	+	1165	3409
STM0134	NC_003197.2	156919	157852	+	934	3283
STM0135	NC_003197.2	158199	158627	+	429	1463
STM0136	NC_003197.2	158689	161394	+	2706	9257
STM0137	NC_003197.2	161532	161941	+	410	1834
STM0138	NC_003197.2	162263	162465	-	203	609
STM0139	NC_003197.2	162464	163221	-	758	2060
STM0140	NC_003197.2	163207	163835	-	629	1964
STM0141	NC_003197.2	164040	165096	+	1057	3204
STM0142	NC_003197.2	165127	166342	-	1216	3532
STM0143	NC_003197.2	166319	167715	-	1397	3904
STM0144	NC_003197.2	167714	168163	-	450	1450
STM0145	NC_003197.2	168373	169279	-	907	3017
STM0146	NC_003197.2	169341	169917	+	577	1352
STM0147	NC_003197.2	169903	170768	+	866	2517
STM0148	NC_003197.2	170860	171822	-	963	2974
STM0149	NC_003197.2	171810	173227	-	1418	4767
STM0150	NC_003197.2	173380	174812	-	1433	5055
STM0151	NC_003197.2	175153	176080	+	928	3635
STM0152	NC_003197.2	176227	178903	+	2677	8289
STM0153	NC_003197.2	178904	180807	+	1904	5584
STM0154	NC_003197.2	180898	182431	+	1534	4986
STM0155	NC_003197.2	182714	183004	+	291	1007
STM0156	NC_003197.2	183042	183840	-	799	2244
STM0157	NC_003197.2	183846	185488	-	1643	5352
STM0158	NC_003197.2	185843	188454	+	2612	8375
STM0159	NC_003197.2	188515	189363	-	849	0
STM0160	NC_003197.2	189591	189965	+	375	1470
STM0161	NC_003197.2	190186	191153	+	968	2876
STM0162	NC_003197.2	191145	192421	+	1277	3374
STM0163	NC_003197.2	192403	193394	+	992	2743
STM0164	NC_003197.2	193399	194171	+	773	2086
STM0165	NC_003197.2	194201	195011	-	811	2425
STM0166	NC_003197.2	195016	195889	-	874	2825
STM0167	NC_003197.2	195983	196342	-	360	1362
STM0168	NC_003197.2	196520	198142	+	1623	5648
STM0169	NC_003197.2	198220	200623	-	2404	8131
STM0170	NC_003197.2	200804	201352	+	549	1922
STM0171	NC_003197.2	201410	202088	-	679	2176
STM0172	NC_003197.2	202173	203107	+	935	2583
STM0173	NC_003197.2	203091	203874	+	784	2365
STM0174	NC_003197.2	203991	205077	-	1087	2092
STM0175	NC_003197.2	205079	207631	-	2553	7867
STM0176	NC_003197.2	207652	208341	-	690	2031
STM0177	NC_003197.2	208383	208928	-	546	2008
STM0178	NC_003197.2	209282	209733	+	452	1492
STM0179	NC_003197.2	209795	211024	+	1230	3466
STM0180	NC_003197.2	211031	211426	-	396	1161
STM0181	NC_003197.2	211506	212373	-	868	2960
STM0182	NC_003197.2	212486	213288	-	803	2499
STM0183	NC_003197.2	213398	213888	-	491	1170
STM0184	NC_003197.2	213874	215292	-	1419	4140
STM0185	NC_003197.2	215433	216374	-	942	3098
STM0186	NC_003197.2	216398	216866	-	469	1400
STM0187	NC_003197.2	217030	217745	-	716	2315
STM0188	NC_003197.2	217751	218281	-	531	1478
STM0189	NC_003197.2	218296	220783	+	2488	8330
STM0190	NC_003197.2	220911	223446	+	2536	8812
STM0191	NC_003197.2	223726	225928	+	2203	6766
STM0192	NC_003197.2	225977	226774	+	798	2570
STM0193	NC_003197.2	226774	227664	+	891	2497
STM0194	NC_003197.2	227651	229718	+	2068	6594
STM0195	NC_003197.2	230647	231218	+	572	0
STM0196	NC_003197.2	231287	233961	+	2675	0
STM0197	NC_003197.2	233964	234731	+	768	0
STM0198	NC_003197.2	234737	235262	+	526	0
STM0199	NC_003197.2	235245	235735	+	491	0
STM0200	NC_003197.2	235718	236265	+	548	0
STM0201	NC_003197.2	236265	237104	+	840	0
STM0202	NC_003197.2	237212	238505	-	1294	4512
STM0203	NC_003197.2	238662	240083	+	1422	5011
STM0204	NC_003197.2	240120	240509	+	390	1194
STM0205	NC_003197.2	240610	241247	-	638	1992
STM0206	NC_003197.2	241270	242077	-	808	2060
STM0207	NC_003197.2	242063	242761	-	699	1970
STM0208	NC_003197.2	242840	244363	+	1524	4883
STM0209	NC_003197.2	244493	245920	+	1428	5023
STM0210	NC_003197.2	246061	247230	+	1170	4037
STM0211	NC_003197.2	247319	247717	-	399	1594
STM0212	NC_003197.2	247943	249253	+	1311	4267
STM0213	NC_003197.2	249290	250114	-	825	2315
STM0214	NC_003197.2	250144	252825	-	2682	8773
STM0215	NC_003197.2	253053	253860	-	808	3331
STM0216	NC_003197.2	254285	255023	+	739	2635
STM0217	NC_003197.2	255269	256132	+	864	3142
STM0218	NC_003197.2	256265	257002	+	738	2899
STM0219	NC_003197.2	257136	257706	+	571	2270
STM0220	NC_003197.2	257836	259043	+	1208	4269
STM0221	NC_003197.2	259337	260114	+	778	2455
STM0222	NC_003197.2	260114	260984	+	871	2384
STM0223	NC_003197.2	260988	262348	+	1361	3917
STM0224	NC_003197.2	262380	264794	+	2415	7634
STM0225	NC_003197.2	264905	265402	+	498	1416
STM0226	NC_003197.2	265391	266431	+	1041	3042
STM0227	NC_003197.2	266524	266992	+	469	1253
STM0228	NC_003197.2	266984	267784	+	801	2119
STM0229	NC_003197.2	267768	268932	+	1165	3195
STM0230	NC_003197.2	268915	269525	+	611	1538
STM0231	NC_003197.2	269536	273031	+	3496	10273
STM0232	NC_003197.2	272938	274003	+	1066	3491
STM0233	NC_003197.2	274177	275947	+	1771	5951
STM0234	NC_003197.2	276012	278164	+	2153	6949
STM0235	NC_003197.2	278209	278609	+	401	1145
STM0236	NC_003197.2	278665	279964	+	1300	4539
STM0237	NC_003197.2	280048	280321	-	274	550
STM0238	NC_003197.2	280295	280517	-	223	598
STM0239	NC_003197.2	280680	281238	+	559	1868
STM0240	NC_003197.2	281220	281657	+	438	1401
STM0242	NC_003197.2	282468	284202	-	1735	5815
STM0243	NC_003197.2	284297	285012	-	716	2323
STM0244	NC_003197.2	285001	285416	-	416	1309
STM0245	NC_003197.2	285524	286351	-	828	2554
STM0246	NC_003197.2	286378	287044	-	667	1771
STM0247	NC_003197.2	287024	288063	-	1040	3230
STM0248	NC_003197.2	288230	288811	+	582	2204
STM0249	NC_003197.2	289190	290733	+	1544	9241
STM0250	NC_003197.2	290801	290874	+	74	672
STM0251	NC_003197.2	290987	291059	+	73	1000
STM0252	NC_003197.2	291245	294337	+	3093	9145
STM0253	NC_003197.2	294520	294641	+	122	66
STM0254	NC_003197.2	294839	294912	+	74	479
STM0255	NC_003197.2	295060	295873	+	814	2531
STM0256	NC_003197.2	295894	296819	-	926	2870
STM0257	NC_003197.2	296901	298088	+	1188	4254
STM0258	NC_003197.2	298241	299020	+	780	2611
STM0259	NC_003197.2	299083	299868	+	786	2751
STM0260	NC_003197.2	299924	301291	-	1368	4671
STM0261	NC_003197.2	301363	302128	-	766	2280
STM0262	NC_003197.2	302140	302875	+	736	1907
STM0263	NC_003197.2	302872	303356	-	485	1233
STM0264	NC_003197.2	303403	304134	+	732	2452
STM0265	NC_003197.2	304278	304351	+	74	659
STM0266	NC_003197.2	304666	305721	-	1056	3829
STM0267	NC_003197.2	305732	306732	-	1001	2945
STM0268	NC_003197.2	306724	308613	-	1890	5570
STM0269	NC_003197.2	308623	309125	-	503	1109
STM0270	NC_003197.2	309114	309944	-	831	2112
STM0271	NC_003197.2	309925	310832	-	908	2942
STM0272	NC_003197.2	311190	313834	+	2645	9211
STM0273	NC_003197.2	313927	314476	+	550	2003
STM0274	NC_003197.2	314493	316008	+	1516	4670
STM0274A	NC_003197.2	316071	316181	+	111	436
STM0275	NC_003197.2	316308	316640	+	333	1420
STM0276	NC_003197.2	316888	317379	+	492	2206
STM0277	NC_003197.2	317678	318169	+	492	1433
STM0278	NC_003197.2	318150	318537	+	388	958
STM0279	NC_003197.2	318674	319165	+	492	1800
STM0280	NC_003197.2	319225	319768	+	544	1304
STM0281	NC_003197.2	319768	321115	+	1348	3665
STM0282	NC_003197.2	321106	322416	+	1311	3660
STM0283	NC_003197.2	322414	323194	+	781	2433
STM0284	NC_003197.2	323391	323828	+	438	1249
STM0285	NC_003197.2	323857	327731	+	3875	12202
STM0286	NC_003197.2	327726	328519	+	794	2300
STM0287	NC_003197.2	328510	328932	+	423	967
STM0288	NC_003197.2	328950	329477	+	528	1681
STM0289	NC_003197.2	329867	332063	+	2197	11193
STM0290	NC_003197.2	332080	332533	+	454	0
STM0291	NC_003197.2	332541	336646	+	4106	0
STM0292	NC_003197.2	337088	337836	+	749	1
STM0293	NC_003197.2	337825	338276	+	452	0
STM0294	NC_003197.2	338835	339276	+	442	0
STM0295	NC_003197.2	340039	340353	+	315	1305
STM0296	NC_003197.2	340455	340703	-	249	907
STM0297	NC_003197.2	340748	340953	+	206	1353
STM0298	NC_003197.2	341175	341460	+	286	1286
STM0299	NC_003197.2	342207	342722	+	516	1785
STM0300	NC_003197.2	342830	343543	+	714	2151
STM0301	NC_003197.2	343560	346077	+	2518	7796
STM0302	NC_003197.2	346092	346569	+	478	1380
STM0303	NC_003197.2	346968	347796	+	829	3072
STM0304	NC_003197.2	348606	349558	+	953	3389
STM0305	NC_003197.2	349672	349890	+	219	1116
STM0306	NC_003197.2	349894	350619	-	726	2085
STM0307	NC_003197.2	350944	351358	-	415	1728
STM0308	NC_003197.2	351722	352503	-	782	2874
STM0309	NC_003197.2	352598	355058	-	2461	8226
STM0310	NC_003197.2	355270	355860	+	591	2290
STM0311	NC_003197.2	356063	356840	+	778	2242
STM0312	NC_003197.2	356811	357565	-	755	2302
STM0313	NC_003197.2	357788	358856	+	1069	3713
STM0315	NC_003197.2	360188	360818	+	631	2694
STM0316	NC_003197.2	360974	362444	-	1471	5221
STM0317	NC_003197.2	362662	363138	+	477	1790
STM0318	NC_003197.2	363212	364471	+	1260	3796
STM0319	NC_003197.2	364517	364930	+	414	1039
STM0320	NC_003197.2	364981	366179	-	1199	3916
STM0321	NC_003197.2	366309	367419	+	1111	3656
STM0322	NC_003197.2	367418	368681	+	1264	4157
STM0323	NC_003197.2	368807	368879	+	73	522
STM0324	NC_003197.2	369153	369380	+	228	2
STM0325	NC_003197.2	369198	369998	-	801	0
STM0327	NC_003197.2	370726	371063	+	338	0
STM0328	NC_003197.2	371397	372642	+	1246	0
STM0329	NC_003197.2	372766	374195	+	1430	0
STM0330	NC_003197.2	374190	374823	+	634	0
STM0331	NC_003197.2	374831	375716	+	886	0
STM0332	NC_003197.2	375712	376630	+	919	0
STM0333	NC_003197.2	376656	377629	+	974	0
STM0334	NC_003197.2	377574	377854	-	281	0
STM0335	NC_003197.2	378531	378935	+	405	715
STM0336	NC_003197.2	378982	379748	-	767	1887
STM0337	NC_003197.2	379706	381038	-	1333	4873
STM0338	NC_003197.2	381036	383603	-	2568	8304
STM0339	NC_003197.2	383581	384357	-	777	1912
STM0340	NC_003197.2	384404	384948	-	545	1814
STM0341	NC_003197.2	385574	386338	+	765	2251
STM0342	NC_003197.2	386306	386610	+	305	850
STM0343	NC_003197.2	387105	388684	+	1580	5348
STM0344	NC_003197.2	388778	389527	+	750	1948
STM0345	NC_003197.2	389494	389988	+	495	1321
STM0346	NC_003197.2	390383	390913	+	531	1995
STM0347	NC_003197.2	391057	391698	+	642	1832
STM0348	NC_003197.2	391703	391933	+	231	391
STM0349	NC_003197.2	391984	392350	+	367	1045
STM0350	NC_003197.2	392420	393948	-	1529	4512
STM0351	NC_003197.2	393894	397067	-	3174	9196
STM0352	NC_003197.2	397058	398290	-	1233	3967
STM0353	NC_003197.2	398554	400849	+	2296	7593
STM0354	NC_003197.2	400853	401325	+	473	1386
STM0355	NC_003197.2	401396	401597	+	202	960
STM0356	NC_003197.2	401883	403143	+	1261	4221
STM0357	NC_003197.2	403326	405290	+	1965	6080
STM0358	NC_003197.2	405293	408272	+	2980	9296
STM0359	NC_003197.2	408544	408650	+	107	599
STM0360	NC_003197.2	408761	410170	+	1410	3995
STM0361	NC_003197.2	410159	411177	+	1019	2882
STM0362	NC_003197.2	411190	411418	+	229	415
STM0363	NC_003197.2	411510	412518	+	1009	3553
STM0364	NC_003197.2	412664	414772	+	2109	6338
STM0365	NC_003197.2	414813	415461	-	649	2311
STM0366	NC_003197.2	415665	415952	+	288	1327
STM0367	NC_003197.2	416088	417730	-	1643	5803
STM0368	NC_003197.2	417967	418865	+	899	3163
STM0369	NC_003197.2	418979	420157	+	1179	3568
STM0370	NC_003197.2	420182	421648	+	1467	4549
STM0371	NC_003197.2	421677	423575	+	1899	6145
STM0372	NC_003197.2	423679	424663	-	985	3692
STM0373	NC_003197.2	425151	428102	+	2952	4382
STM0374	NC_003197.2	428177	428811	+	635	1916
STM0375	NC_003197.2	428856	429986	-	1131	3852
STM0376	NC_003197.2	430348	431580	+	1233	3763
STM0377	NC_003197.2	431584	432689	+	1106	3153
STM0378	NC_003197.2	432727	433047	-	321	1027
STM0379	NC_003197.2	433292	433518	+	227	801
STM0380	NC_003197.2	433544	434656	-	1113	3273
STM0381	NC_003197.2	434712	435429	+	718	2398
STM0382	NC_003197.2	435598	436809	+	1212	4176
STM0383	NC_003197.2	437092	437366	+	275	1144
STM0384	NC_003197.2	437706	438038	+	333	1311
STM0385	NC_003197.2	438111	439242	+	1132	3306
STM0386	NC_003197.2	439257	440080	-	824	2668
STM0387	NC_003197.2	440194	440661	+	468	1617
STM0388	NC_003197.2	440687	441391	+	705	1809
STM0389	NC_003197.2	441407	441609	+	203	627
STM0390	NC_003197.2	441846	442537	+	692	2309
STM0391	NC_003197.2	442595	442892	+	298	671
STM0392	NC_003197.2	442930	443853	-	924	2727
STM0393	NC_003197.2	443955	444875	+	921	2882
STM0394	NC_003197.2	444897	446125	-	1229	3963
STM0395	NC_003197.2	446242	449396	-	3155	10304
STM0396	NC_003197.2	449379	450592	-	1214	3691
STM0397	NC_003197.2	450723	451485	+	763	2655
STM0398	NC_003197.2	451540	452850	+	1311	4226
STM0399	NC_003197.2	453243	454578	+	1336	4571
STM0400	NC_003197.2	454644	456023	+	1380	4596
STM0401	NC_003197.2	456172	458002	+	1831	6465
STM0402	NC_003197.2	458074	458684	-	611	2104
STM0403	NC_003197.2	458886	459478	-	593	2345
STM0404	NC_003197.2	459561	460625	+	1065	3527
STM0405	NC_003197.2	460811	461949	+	1139	3539
STM0406	NC_003197.2	461960	462304	+	345	682
STM0407	NC_003197.2	462320	464179	+	1860	5655
STM0408	NC_003197.2	464178	465161	+	984	2994
STM0409	NC_003197.2	465301	465674	+	374	0
STM0410	NC_003197.2	465700	466392	+	693	0
STM0411	NC_003197.2	466546	466909	+	364	1394
STM0412	NC_003197.2	467157	467483	-	327	1305
STM0413	NC_003197.2	467538	468539	-	1002	3285
STM0414	NC_003197.2	468701	469255	-	555	2282
STM0415	NC_003197.2	469381	469841	+	461	1275
STM0416	NC_003197.2	469833	470948	+	1116	3294
STM0417	NC_003197.2	471023	471507	+	485	1256
STM0418	NC_003197.2	471516	471947	+	432	1098
STM0419	NC_003197.2	472014	473003	+	990	2682
STM0420	NC_003197.2	472970	473496	+	527	1383
STM0421	NC_003197.2	473600	474587	-	988	3652
STM0422	NC_003197.2	474631	476493	-	1863	5798
STM0423	NC_003197.2	476517	477431	-	915	2563
STM0424	NC_003197.2	477417	477679	-	263	749
STM0425	NC_003197.2	477869	479317	+	1449	4384
STM0426	NC_003197.2	479361	480165	-	805	2144
STM0427	NC_003197.2	480161	481027	-	867	2399
STM0428	NC_003197.2	481024	482133	-	1110	3314
STM0429	NC_003197.2	482139	483157	-	1019	3312
STM0430	NC_003197.2	483350	484085	-	736	2735
STM0431	NC_003197.2	484203	485312	+	1110	3504
STM0432	NC_003197.2	485312	486131	+	820	2281
STM0433	NC_003197.2	486228	486831	-	604	1562
STM0434	NC_003197.2	486781	487703	-	923	2581
STM0435	NC_003197.2	487800	488309	+	510	1575
STM0436	NC_003197.2	488356	489705	-	1350	4282
STM0436A	NC_003197.2	489948	490109	-	162	814
STM0437	NC_003197.2	490250	491768	+	1519	4717
STM0438	NC_003197.2	491986	493273	+	1288	3870
STM0439	NC_003197.2	493355	494254	-	900	2353
STM0440	NC_003197.2	494257	494600	-	344	515
STM0441	NC_003197.2	494586	495212	-	627	1381
STM0442	NC_003197.2	495190	497193	-	2004	5661
STM0443	NC_003197.2	497192	498229	-	1038	3171
STM0444	NC_003197.2	498601	500094	-	1494	4637
STM0445	NC_003197.2	500120	500760	-	641	2114
STM0446	NC_003197.2	500990	501319	+	330	1538
STM0447	NC_003197.2	501655	502964	+	1310	4643
STM0448	NC_003197.2	503199	503834	+	636	2167
STM0449	NC_003197.2	504073	505357	+	1285	4321
STM0450	NC_003197.2	505532	507897	+	2366	7828
STM0451	NC_003197.2	508058	508378	+	321	1328
STM0452	NC_003197.2	508651	510540	+	1890	6253
STM0453	NC_003197.2	510676	511064	+	389	1676
STM0454	NC_003197.2	511154	511566	+	413	1373
STM0455	NC_003197.2	511672	512377	-	706	2305
STM0456	NC_003197.2	512432	514142	-	1711	5610
STM0457	NC_003197.2	514221	515051	+	831	2614
STM0458	NC_003197.2	515101	516161	-	1061	3144
STM0459	NC_003197.2	516258	516727	+	470	1264
STM0460	NC_003197.2	516755	518540	+	1786	5356
STM0461	NC_003197.2	518520	520314	+	1795	6018
STM0462	NC_003197.2	520515	520865	+	351	1032
STM0463	NC_003197.2	520883	522183	+	1301	3993
STM0464	NC_003197.2	522283	523156	-	874	3077
STM0465	NC_003197.2	523346	523927	+	582	1985
STM0466	NC_003197.2	523960	524359	-	400	1234
STM0467	NC_003197.2	524427	524542	+	116	202
STM0468	NC_003197.2	524580	526142	-	1563	4421
STM0469	NC_003197.2	526346	526615	+	270	747
STM0470	NC_003197.2	526616	526761	+	146	173
STM0471	NC_003197.2	526817	527297	-	481	1423
STM0472	NC_003197.2	527404	527969	-	566	1767
STM0473	NC_003197.2	528134	528364	-	231	683
STM0474	NC_003197.2	528380	528767	-	388	1108
STM0475	NC_003197.2	529250	532415	-	3166	9854
STM0476	NC_003197.2	532422	533626	-	1205	3670
STM0477	NC_003197.2	533757	534410	+	654	2343
STM0478	NC_003197.2	534529	537891	+	3363	10230
STM0479	NC_003197.2	537933	538874	-	942	2712
STM0480	NC_003197.2	538938	539116	-	179	316
STM0481	NC_003197.2	539119	539634	-	516	1408
STM0482	NC_003197.2	539715	540092	+	378	1392
STM0483	NC_003197.2	540232	540796	+	565	1919
STM0484	NC_003197.2	540910	542838	+	1929	6356
STM0485	NC_003197.2	542874	543213	+	340	713
STM0486	NC_003197.2	543199	543818	+	620	1881
STM0487	NC_003197.2	543905	545803	+	1899	6387
STM0488	NC_003197.2	546029	546688	+	660	2665
STM0489	NC_003197.2	546908	547879	+	972	3099
STM0490	NC_003197.2	547876	548859	-	984	3156
STM0491	NC_003197.2	549000	550304	+	1305	4188
STM0492	NC_003197.2	550353	552040	-	1688	5555
STM0493	NC_003197.2	552244	553464	-	1221	4234
STM0494	NC_003197.2	553624	555289	+	1666	5346
STM0495	NC_003197.2	555406	555895	-	490	1889
STM0496	NC_003197.2	556087	556893	-	807	2798
STM0497	NC_003197.2	556967	557800	-	834	2544
STM0498	NC_003197.2	557948	560463	-	2516	8163
STM0499	NC_003197.2	560548	560975	+	428	1064
STM0500	NC_003197.2	560976	561440	-	465	863
STM0501	NC_003197.2	561425	562356	-	932	2733
STM0502	NC_003197.2	562474	563166	+	693	1816
STM0503	NC_003197.2	563140	563932	+	793	2184
STM0504	NC_003197.2	564018	564872	-	855	2896
STM0505	NC_003197.2	564932	565713	-	782	2725
STM0506	NC_003197.2	565857	566488	-	632	1692
STM0507	NC_003197.2	566430	567128	+	699	1746
STM0508	NC_003197.2	567114	569539	+	2426	7646
STM0509	NC_003197.2	569718	570858	+	1141	3769
STM0510	NC_003197.2	571109	571945	+	837	2593
STM0511	NC_003197.2	571975	572998	+	1024	2738
STM0512	NC_003197.2	572984	573650	+	667	1682
STM0513	NC_003197.2	573689	574801	-	1113	3521
STM0514	NC_003197.2	574853	575795	-	943	172
STM0515	NC_003197.2	575994	576488	+	495	0
STM0516	NC_003197.2	576550	577385	+	836	0
STM0517	NC_003197.2	577456	579251	+	1796	0
STM0518	NC_003197.2	579254	580040	+	787	0
STM0519	NC_003197.2	580131	581019	+	889	0
